GDAY_DS,VISIT_KEY,HOME_KEY,STADIUM
20160401,HH,LG,잠실
20160401,HT,NC,마산
20160401,KT,SK,문학
20160401,LT,WO,고척
20160401,OB,SS,대구
20160402,HH,LG,잠실
20160402,HT,NC,마산
20160402,KT,SK,문학
20160402,LT,WO,고척
20160402,OB,SS,대구
20160403,KT,SK,문학
20160403,LT,WO,고척
20160405,LG,HT,광주
20160405,NC,OB,잠실
20160405,SK,LT,사직
20160405,SS,KT,수원
20160405,WO,HH,대전
20160406,NC,OB,잠실
20160406,SK,LT,사직
20160406,SS,KT,수원
20160406,WO,HH,대전
20160407,LG,HT,광주
20160407,NC,OB,잠실
20160407,SK,LT,사직
20160407,SS,KT,수원
20160407,WO,HH,대전
20160408,HH,NC,마산
20160408,HT,KT,수원
20160408,LG,SK,문학
20160408,SS,LT,사직
20160408,WO,OB,잠실
20160409,HH,NC,마산
20160409,HT,KT,수원
20160409,LG,SK,문학
20160409,SS,LT,사직
20160409,WO,OB,잠실
20160410,HH,NC,마산
20160410,HT,KT,수원
20160410,LG,SK,문학
20160410,SS,LT,사직
20160410,WO,OB,잠실
20160412,HT,SK,문학
20160412,KT,WO,고척
20160412,LT,LG,잠실
20160412,NC,SS,대구
20160412,OB,HH,대전
20160413,HT,SK,문학
20160413,KT,WO,고척
20160413,LT,LG,잠실
20160413,NC,SS,대구
20160413,OB,HH,대전
20160414,HT,SK,문학
20160414,KT,WO,고척
20160414,LT,LG,잠실
20160414,NC,SS,대구
20160414,OB,HH,대전
20160415,LG,HH,대전
20160415,LT,NC,마산
20160415,SK,KT,수원
20160415,SS,OB,잠실
20160415,WO,HT,광주
20160417,LG,HH,대전
20160417,LT,NC,마산
20160417,SK,KT,수원
20160417,SS,OB,잠실
20160417,WO,HT,광주
20160419,HH,LT,사직
20160419,NC,LG,잠실
20160419,OB,KT,수원
20160419,SS,HT,광주
20160419,WO,SK,문학
20160420,HH,LT,사직
20160420,NC,LG,잠실
20160420,OB,KT,수원
20160420,SS,HT,광주
20160420,WO,SK,문학
20160421,HH,LT,사직
20160421,NC,LG,잠실
20160421,OB,KT,수원
20160421,SS,HT,광주
20160421,WO,SK,문학
20160422,HH,OB,잠실
20160422,HT,LT,사직
20160422,KT,SS,대구
20160422,LG,WO,고척
20160422,NC,SK,문학
20160423,HH,OB,잠실
20160423,HT,LT,사직
20160423,KT,SS,대구
20160423,LG,WO,고척
20160423,NC,SK,문학
20160424,HH,OB,잠실
20160424,HT,LT,사직
20160424,KT,SS,대구
20160424,LG,WO,고척
20160424,NC,SK,문학
20160426,HT,HH,대전
20160426,LG,SS,대구
20160426,LT,KT,수원
20160426,SK,OB,잠실
20160426,WO,NC,마산
20160427,LT,KT,수원
20160427,SK,OB,잠실
20160428,HT,HH,대전
20160428,LG,SS,대구
20160428,LT,KT,수원
20160428,SK,OB,잠실
20160428,WO,NC,마산
20160429,KT,LG,잠실
20160429,NC,LT,사직
20160429,OB,HT,광주
20160429,SK,WO,고척
20160429,SS,HH,대전
20160430,KT,LG,잠실
20160430,NC,LT,사직
20160430,OB,HT,광주
20160430,SK,WO,고척
20160430,SS,HH,대전
20160501,KT,LG,잠실
20160501,NC,LT,사직
20160501,OB,HT,광주
20160501,SK,WO,고척
20160501,SS,HH,대전
20160503,HH,SK,문학
20160503,LT,HT,광주
20160503,WO,SS,대구
20160504,HH,SK,문학
20160504,LT,HT,광주
20160504,NC,KT,수원
20160504,OB,LG,잠실
20160504,WO,SS,대구
20160505,HH,SK,문학
20160505,LT,HT,광주
20160505,NC,KT,수원
20160505,OB,LG,잠실
20160505,WO,SS,대구
20160506,HH,KT,수원
20160506,HT,WO,고척
20160506,LG,NC,마산
20160506,LT,OB,잠실
20160506,SK,SS,대구
20160507,HH,KT,수원
20160507,HT,WO,고척
20160507,LG,NC,마산
20160507,LT,OB,잠실
20160507,SK,SS,대구
20160508,HH,KT,수원
20160508,HT,WO,고척
20160508,LG,NC,마산
20160508,LT,OB,잠실
20160508,SK,SS,대구
20160510,OB,SK,문학
20160510,SS,LG,잠실
20160511,KT,HT,광주
20160511,NC,HH,대전
20160511,OB,SK,문학
20160511,SS,LG,잠실
20160511,WO,LT,사직
20160512,KT,HT,광주
20160512,NC,HH,대전
20160512,OB,SK,문학
20160512,SS,LG,잠실
20160512,WO,LT,사직
20160513,HH,HT,광주
20160513,KT,NC,마산
20160513,LT,SS,대구
20160513,OB,WO,고척
20160513,SK,LG,잠실
20160514,HH,HT,광주
20160514,KT,NC,마산
20160514,LT,SS,대구
20160514,OB,WO,고척
20160514,SK,LG,잠실
20160515,HH,HT,광주
20160515,KT,NC,마산
20160515,LT,SS,대구
20160515,OB,WO,고척
20160517,HH,SS,포항
20160517,HT,OB,잠실
20160517,LG,KT,수원
20160517,LT,SK,문학
20160517,NC,WO,고척
20160518,HH,SS,포항
20160518,HT,OB,잠실
20160518,LG,KT,수원
20160518,LT,SK,문학
20160518,NC,WO,고척
20160519,HH,SS,포항
20160519,HT,OB,잠실
20160519,LG,KT,수원
20160519,LT,SK,문학
20160519,NC,WO,고척
20160520,KT,HH,대전
20160520,OB,LT,사직
20160520,SK,HT,광주
20160520,SS,NC,마산
20160520,WO,LG,잠실
20160521,KT,HH,대전
20160521,OB,LT,사직
20160521,SK,HT,광주
20160521,SS,NC,마산
20160521,WO,LG,잠실
20160522,KT,HH,대전
20160522,OB,LT,사직
20160522,SK,HT,광주
20160522,SS,NC,마산
20160522,WO,LG,잠실
20160524,HH,WO,고척
20160524,HT,SS,대구
20160524,KT,OB,잠실
20160525,HH,WO,고척
20160525,HT,SS,대구
20160525,KT,OB,잠실
20160525,LG,LT,울산
20160525,SK,NC,마산
20160526,HH,WO,고척
20160526,HT,SS,대구
20160526,KT,OB,잠실
20160526,LG,LT,울산
20160526,SK,NC,마산
20160527,LG,OB,잠실
20160527,LT,HH,대전
20160527,NC,HT,광주
20160527,SS,SK,문학
20160527,WO,KT,수원
20160528,LG,OB,잠실
20160528,LT,HH,대전
20160528,NC,HT,광주
20160528,SS,SK,문학
20160528,WO,KT,수원
20160529,LG,OB,잠실
20160529,LT,HH,대전
20160529,NC,HT,광주
20160529,SS,SK,문학
20160529,WO,KT,수원
20160531,HT,LG,잠실
20160531,KT,LT,사직
20160531,OB,NC,마산
20160531,SK,HH,대전
20160531,SS,WO,고척
20160601,HT,LG,잠실
20160601,KT,LT,사직
20160601,OB,NC,마산
20160601,SK,HH,대전
20160601,SS,WO,고척
20160602,HT,LG,잠실
20160602,KT,LT,사직
20160602,OB,NC,마산
20160602,SK,HH,대전
20160602,SS,WO,고척
20160603,HH,SS,대구
20160603,LG,KT,수원
20160603,NC,LT,사직
20160603,SK,OB,잠실
20160603,WO,HT,광주
20160604,HH,SS,대구
20160604,LG,KT,수원
20160604,SK,OB,잠실
