P_ID,TB_SC,PA-AB,AB,RUN,RBI,HIT,SH+SF,KK,AVG,SB_trial,BABIP
60404,T,0,1,0,0,1,0,0,1.0,0,1.0
61102,B,0,3,0,0,0,0,2,0.0,0,0.0
61186,B,0,4,2,2,3,0,1,0.75,1,1.0
62164,B,1,0,0,0,0,0,0,0.0,0,0.0
62700,T,0,2,1,0,1,0,0,0.5,0,0.5
63077,B,0,0,0,0,0,0,0,0.0,0,0.0
63123,B,1,2,0,0,0,0,1,0.0,0,0.0
64086,T,2,4,0,0,0,1,3,0.0,0,0.0
64153,B,0,1,0,1,1,0,0,1.0,0,1.0
65103,B,0,5,0,1,1,0,0,0.2,0,0.2
65115,B,0,1,0,0,0,0,0,0.0,0,0.0
66740,T,0,6,0,0,2,0,0,0.3333333333333333,0,0.3333333333333333
71347,T,0,6,1,1,0,0,2,0.0,0,0.0
71610,T,0,1,0,0,0,0,1,0.0,0,0.0
71752,T,0,6,0,2,1,0,1,0.16666666666666666,0,0.2
71842,B,0,2,0,0,0,0,1,0.0,0,0.0
72133,B,0,5,0,0,0,0,0,0.0,0,0.0
73136,T,1,4,0,1,4,1,0,1.0,0,1.0
74729,T,0,6,0,0,2,0,2,0.3333333333333333,0,0.5
74823,B,2,4,1,0,1,1,0,0.25,1,0.25
75808,T,2,4,2,0,2,0,0,0.5,0,0.5
76100,B,0,5,0,0,2,0,2,0.4,1,0.6666666666666666
78217,B,0,0,1,0,0,0,0,0.0,0,0.0
79150,B,0,5,0,0,0,0,3,0.0,0,0.0
79192,B,0,1,0,0,0,0,0,0.0,0,0.0
79198,B,0,0,0,0,0,0,0,0.0,0,0.0
95158,T,0,2,0,0,0,0,1,0.0,0,0.0
98144,T,1,4,0,0,0,1,0,0.0,0,0.0
99606,B,1,4,1,0,1,0,1,0.25,0,0.3333333333333333
61743,T,0,3,0,0,0,0,2,0.0,0,0.0
62907,B,0,3,0,0,0,0,3,0.0,0,0.0
62934,B,1,3,1,0,1,0,2,0.3333333333333333,0,1.0
62947,B,0,4,0,0,1,0,0,0.25,0,0.25
64646,T,0,0,0,0,0,0,0,0.0,0,0.0
64699,T,0,4,2,0,2,0,0,0.5,0,0.5
64914,B,0,4,2,2,2,0,1,0.5,0,0.5
65653,T,0,1,0,0,0,0,1,0.0,0,0.0
70410,T,1,3,1,0,0,0,0,0.0,0,0.0
70756,T,1,3,0,0,2,0,0,0.6666666666666666,0,0.6666666666666666
71207,T,0,4,0,2,1,0,0,0.25,0,0.25
72303,T,1,3,0,0,0,0,1,0.0,0,0.0
73213,B,1,3,0,1,2,0,0,0.6666666666666666,0,0.6666666666666666
73306,B,1,0,0,0,0,1,0,0.0,0,0.0
73339,B,2,2,0,0,0,0,1,0.0,0,0.0
74223,B,0,1,0,0,0,0,0,0.0,0,0.0
74465,B,1,3,1,0,1,0,1,0.3333333333333333,0,0.5
74605,T,0,5,0,0,1,0,2,0.2,0,0.3333333333333333
77454,B,0,0,0,0,0,0,0,0.0,0,0.0
78122,B,0,3,0,0,1,0,0,0.3333333333333333,0,0.3333333333333333
78629,T,0,2,0,0,0,0,1,0.0,0,0.0
78643,T,1,3,1,1,2,0,1,0.6666666666666666,0,1.0
78765,T,0,3,0,0,0,0,2,0.0,0,0.0
94629,B,0,4,1,2,1,0,1,0.25,0,0.0
64006,T,0,0,0,0,0,0,0,0.0,1,0.0
64007,T,0,0,0,0,0,0,0,0.0,0,0.0
66805,B,0,4,1,3,1,0,1,0.25,0,0.0
70553,T,0,4,1,2,2,0,0,0.5,0,0.5
70646,T,2,3,0,1,0,1,1,0.0,0,0.0
71837,B,0,4,0,0,0,0,1,0.0,0,0.0
71857,B,0,4,1,0,2,0,1,0.5,0,0.6666666666666666
73113,T,1,4,1,0,1,0,0,0.25,0,0.25
73153,T,0,5,0,0,0,0,1,0.0,0,0.0
74339,T,2,3,1,0,2,0,0,0.6666666666666666,0,0.6666666666666666
74846,B,0,4,0,0,1,0,0,0.25,0,0.25
75151,B,0,4,0,0,0,0,1,0.0,0,0.0
75847,B,0,4,0,0,0,0,2,0.0,0,0.0
76802,B,0,4,1,1,2,0,0,0.5,0,0.5
76812,B,0,4,0,0,1,0,1,0.25,0,0.3333333333333333
76849,B,0,4,1,0,3,0,0,0.75,0,0.75
77609,T,0,4,1,2,1,0,1,0.25,0,0.0
78517,T,0,1,0,0,1,0,0,1.0,0,1.0
78753,T,0,3,1,0,2,0,0,0.6666666666666666,1,0.6666666666666666
78892,T,0,5,1,2,1,0,3,0.2,0,0.0
99810,T,1,4,2,0,1,0,1,0.25,1,0.3333333333333333
60523,T,0,5,0,0,3,0,1,0.6,1,0.75
60558,T,0,4,0,0,1,0,1,0.25,0,0.3333333333333333
61353,B,0,1,0,0,0,0,0,0.0,0,0.0
61366,B,0,1,0,0,1,0,0,1.0,0,1.0
62353,B,0,0,0,0,0,0,0,0.0,1,0.0
64300,B,0,4,0,0,0,0,1,0.0,0,0.0
64346,B,1,1,0,0,0,0,0,0.0,0,0.0
65523,T,0,4,0,1,1,0,1,0.25,0,0.3333333333333333
66306,B,0,4,0,0,0,0,1,0.0,0,0.0
71552,T,0,4,0,0,2,0,1,0.5,0,0.6666666666666666
71562,T,0,1,0,0,0,0,0,0.0,0,0.0
71565,T,0,4,0,0,0,0,1,0.0,0,0.0
72546,T,0,0,0,0,0,0,0,0.0,0,0.0
73342,B,1,3,0,1,0,1,0,0.0,0,0.0
74215,B,1,3,0,0,2,0,1,0.6666666666666666,0,1.0
74540,T,1,3,1,0,2,0,0,0.6666666666666666,0,0.6666666666666666
76313,T,0,5,0,0,0,0,0,0.0,0,0.0
76368,B,0,0,0,0,0,0,0,0.0,0,0.0
76536,T,0,3,0,0,0,0,0,0.0,0,0.0
77463,B,1,3,0,0,1,0,1,0.3333333333333333,0,0.5
77532,T,1,4,1,0,2,0,1,0.5,0,0.6666666666666666
77564,B,1,3,0,0,0,0,0,0.0,1,0.0
78168,B,0,4,1,0,1,0,0,0.25,0,0.25
79334,B,0,0,0,0,0,0,0,0.0,0,0.0
79365,B,1,3,0,0,1,0,2,0.3333333333333333,0,1.0
60456,B,0,2,0,0,0,0,1,0.0,0,0.0
62404,B,0,4,0,0,1,0,0,0.25,1,0.25
62415,B,1,3,0,0,1,0,0,0.3333333333333333,1,0.3333333333333333
63260,T,0,1,0,0,0,0,1,0.0,0,0.0
64493,B,0,0,0,0,0,0,0,0.0,0,0.0
66209,T,0,0,0,0,0,0,0,0.0,0,0.0
66244,T,0,4,1,0,1,0,1,0.25,0,0.3333333333333333
66452,B,0,4,1,0,2,0,0,0.5,0,0.5
71432,B,0,3,0,0,0,0,1,0.0,0,0.0
72443,B,0,4,0,0,1,0,1,0.25,0,0.3333333333333333
72466,B,1,1,0,0,0,0,1,0.0,0,0.0
74206,T,1,3,0,0,1,1,0,0.3333333333333333,1,0.3333333333333333
75334,T,0,0,0,0,0,0,0,0.0,0,0.0
76232,T,1,3,1,2,2,0,0,0.6666666666666666,0,0.5
76249,T,1,3,1,1,1,0,0,0.3333333333333333,0,0.0
76267,T,2,1,0,1,0,1,0,0.0,0,0.0
77248,T,0,4,1,0,2,0,0,0.5,1,0.5
79215,T,0,4,1,0,1,0,1,0.25,0,0.3333333333333333
79231,T,1,3,0,0,0,0,0,0.0,1,0.0
79240,T,0,5,0,0,0,0,0,0.0,0,0.0
79402,B,0,3,0,0,1,0,2,0.3333333333333333,0,1.0
79456,B,0,4,0,0,1,0,0,0.25,0,0.25
79465,B,0,1,0,0,0,0,0,0.0,0,0.0
95436,B,1,3,0,1,1,0,0,0.3333333333333333,0,0.3333333333333333
60404,T,0,2,0,0,0,0,0,0.0,0,0.0
61102,B,1,2,1,0,1,0,0,0.5,0,0.5
61186,B,0,4,0,0,2,0,1,0.5,1,0.6666666666666666
61700,T,0,3,1,0,1,0,1,0.3333333333333333,0,0.5
62164,B,0,1,0,0,0,0,1,0.0,0,0.0
62700,T,0,1,1,2,1,0,0,1.0,0,1.0
