P_ID,TB_SC,INN2,PA-AB,H1,H2,H3,HR,SB_SR,WP,ER,ERA,BABIP,KK9,BB9
60146,B,6,1,1,0,0,0,0.0,0,0,0.0,0.25,13.5,4.5
61891,B,5,2,2,0,0,0,0.0,0,0,0.0,0.4,5.4,5.4
62146,B,1,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
62698,B,18,3,7,2,0,0,0.0,0,4,6.0,0.42857142857142855,6.0,1.5
65764,T,4,2,0,1,0,0,0.0,0,1,6.75,0.3333333333333333,6.75,6.75
70839,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
71118,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
72447,T,6,0,1,0,0,0,1.0,0,0,0.0,0.2,9.0,0.0
73801,T,9,1,3,1,0,1,1.0,0,3,9.0,0.4444444444444444,12.0,3.0
74731,T,1,1,1,0,0,0,0.0,0,0,0.0,1.0,27.0,27.0
74857,T,9,0,0,0,0,0,0.0,0,0,0.0,0.0,6.0,0.0
99737,T,5,1,1,0,0,0,0.0,1,0,0.0,0.2,5.4,5.4
62966,B,3,0,0,1,0,0,0.0,0,0,0.0,0.5,18.0,0.0
63938,B,17,2,4,2,0,1,0.0,2,4,6.352941176470588,0.35294117647058826,7.9411764705882355,3.176470588235294
66628,T,6,2,3,0,0,0,0.0,0,1,4.5,0.5,9.0,4.5
75867,B,4,2,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13.5
77637,T,18,4,2,2,0,2,0.0,0,4,6.0,0.3076923076923077,10.5,6.0
78352,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
62056,B,3,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9.0
64001,T,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
64893,B,5,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
66049,T,18,0,3,3,0,1,0.0,0,4,6.0,0.2727272727272727,3.0,0.0
71845,B,4,0,1,0,0,0,0.0,0,0,0.0,0.3333333333333333,13.5,0.0
72523,B,1,1,1,0,0,0,0.0,0,1,27.0,1.0,27.0,27.0
75149,T,2,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
77318,T,6,0,1,2,0,0,0.0,0,0,0.0,0.6,13.5,0.0
77829,B,14,4,7,0,0,2,1.0,0,7,13.5,0.4117647058823529,7.7142857142857135,5.785714285714286
60339,B,3,1,1,0,0,0,0.0,0,0,0.0,0.25,0.0,9.0
65331,B,18,0,7,2,0,0,1.0,0,1,1.5,0.42857142857142855,7.5,0.0
65543,T,18,5,3,1,0,0,0.0,0,0,0.0,0.25,7.5,7.5
70615,T,2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
71801,T,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
72535,T,1,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
72749,B,3,1,0,0,0,0,0.0,0,0,0.0,0.0,9.0,9.0
72862,T,2,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
75321,T,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
75342,B,3,0,1,0,0,0,0.0,0,0,0.0,0.25,0.0,0.0
61240,T,18,1,6,0,0,0,0.5,0,1,1.5,0.35294117647058826,7.5,1.5
61457,B,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
63248,T,2,0,1,0,0,0,0.0,0,0,0.0,0.5,13.5,0.0
76329,T,3,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9.0
76455,B,18,4,4,0,0,1,0.6666666666666666,0,3,4.5,0.2,1.5,4.5
77263,T,4,1,1,0,0,0,0.0,1,0,0.0,0.25,0.0,6.75
77446,B,1,0,1,0,0,0,0.0,0,0,0.0,1.0,27.0,0.0
79791,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
99445,B,5,1,1,0,0,1,0.0,0,1,5.3999999999999995,0.25,0.0,0.0
60146,B,1,1,1,1,0,0,0.0,0,3,81.0,0.6666666666666666,0.0,27.0
60764,T,0,2,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0
61891,B,3,1,1,1,0,0,0.0,0,1,9.0,0.6666666666666666,9.0,0.0
62146,B,2,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13.5
66741,T,5,2,3,1,0,0,0.3333333333333333,0,3,16.2,0.5714285714285714,0.0,10.8
70839,B,1,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
71118,B,4,0,1,0,0,0,0.0,0,0,0.0,0.5,20.25,0.0
71260,T,3,1,0,0,1,0,0.0,0,1,9.0,0.3333333333333333,9.0,9.0
72447,T,5,1,2,1,0,0,0.0,1,2,10.799999999999999,0.5,10.8,5.4
73117,B,15,3,3,2,0,0,0.0,0,3,5.4,0.3333333333333333,7.2,5.4
74731,T,7,0,1,0,0,0,0.0,1,0,0.0,0.3333333333333333,19.285714285714285,0.0
76650,B,0,0,1,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0
79140,B,7,1,2,0,0,0,0.0,0,0,0.0,0.25,0.0,0.0
79764,T,10,3,2,0,0,1,0.0,0,1,2.6999999999999997,0.18181818181818182,2.7,8.1
60636,T,2,1,0,0,0,1,0.0,0,2,27.0,0.0,13.5,13.5
62966,B,3,0,0,0,0,1,0.0,0,1,9.0,0.0,9.0,0.0
63959,B,1,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
64907,B,3,3,0,0,0,0,0.0,0,0,0.0,0.0,9.0,18.0
65931,B,15,3,5,2,0,0,1.0,0,3,5.4,0.35,3.6,5.4
65933,B,2,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
66643,T,21,2,5,1,0,0,1.0,0,1,1.2857142857142858,0.2608695652173913,3.8571428571428568,2.571428571428571
66928,B,2,0,0,0,0,0,0.0,0,0,0.0,0.0,13.5,0.0
75668,T,4,0,0,0,0,0,0.0,0,0,0.0,0.0,6.75,0.0
78243,B,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
60264,T,8,2,4,0,0,1,1.0,0,3,10.125,0.4,3.375,6.75
65056,T,7,2,0,1,0,0,0.0,0,0,0.0,0.16666666666666666,3.8571428571428568,7.7142857142857135
65062,T,6,0,1,0,0,0,1.0,0,0,0.0,0.25,13.5,0.0
65067,T,6,1,2,0,0,0,0.0,0,0,0.0,0.2857142857142857,4.5,4.5
65856,B,18,2,7,0,0,0,0.0,0,2,3.0,0.3181818181818182,3.0,3.0
71845,B,5,2,1,0,0,0,0.0,0,0,0.0,0.3333333333333333,5.4,10.8
75138,B,1,2,0,0,0,0,0.0,0,0,0.0,0.0,0.0,27.0
75250,B,6,1,0,0,0,0,0.0,1,0,0.0,0.0,0.0,4.5
77318,T,1,2,0,1,0,0,0.0,1,1,27.0,0.3333333333333333,0.0,54.0
63935,T,6,0,3,0,0,0,0.0,0,0,0.0,0.42857142857142855,9.0,0.0
65343,B,3,0,1,0,0,0,0.0,0,0,0.0,0.3333333333333333,9.0,0.0
65546,T,17,4,6,0,0,0,0.5,0,4,6.352941176470588,0.375,6.352941176470588,6.352941176470588
66323,B,15,4,1,1,0,0,1.0,0,1,1.8,0.16666666666666666,9.0,7.2
71801,T,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,27.0
72749,B,3,0,0,1,0,0,0.0,0,0,0.0,1.0,18.0,0.0
75342,B,3,1,1,0,0,0,0.0,0,0,0.0,0.3333333333333333,9.0,9.0
76350,B,3,0,2,1,0,0,0.0,0,2,18.0,0.5,0.0,0.0
61295,T,2,1,0,0,0,1,0.0,0,2,27.0,0.0,0.0,13.5
61365,B,5,0,0,1,0,0,0.0,0,0,0.0,0.16666666666666666,0.0,0.0
61411,B,5,1,0,1,0,0,0.0,0,1,5.3999999999999995,0.25,10.8,5.4
63248,T,0,0,1,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0
66402,B,15,3,2,3,0,1,1.0,0,4,7.2,0.3125,5.4,5.4
73241,T,5,0,0,0,0,0,1.0,0,0,0.0,0.0,16.2,0.0
74630,B,1,0,1,0,0,0,0.0,0,0,0.0,1.0,27.0,0.0
77263,T,1,1,0,1,1,0,0.0,0,3,81.0,0.6666666666666666,0.0,27.0
77927,B,1,0,2,1,0,0,0.0,0,1,27.0,0.75,0.0,0.0
79229,T,16,3,9,2,0,1,0.0,0,5,8.4375,0.55,6.75,1.6875
60841,B,18,6,0,1,0,0,0.0,0,2,3.0,0.09090909090909091,12.0,9.0
64893,B,4,0,1,0,0,0,0.0,0,0,0.0,0.25,6.75,0.0
65062,T,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
65067,T,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
66032,T,20,3,4,1,0,0,0.5,0,2,2.6999999999999997,0.25,4.05,2.7
73248,B,1,0,0,1,0,0,0.0,0,1,27.0,0.5,0.0,0.0
75138,B,1,0,1,0,0,1,0.0,0,2,54.0,0.5,0.0,0.0
75149,T,3,0,2,0,0,0,0.0,0,1,9.0,0.4,0.0,0.0
75250,B,3,1,2,0,0,0,0.0,0,0,0.0,0.5,0.0,9.0
77318,T,1,2,0,1,0,0,0.0,0,1,27.0,0.5,0.0,54.0
60342,B,2,0,2,0,0,0,0.0,0,1,13.5,0.5,0.0,0.0
65343,B,3,1,1,0,0,0,0.0,0,1,9.0,0.25,0.0,9.0
65348,B,15,1,5,0,0,0,0.0,0,0,0.0,0.29411764705882354,5.4,1.8
