GDAY_DS,T_ID,P_ID,TB_SC,INN2,PA-AB,H1,H2,H3,HR,SB_SR,WP,ER,ERA,BABIP,KK9,BB9
20160401,LG,60146,B,6,1,1,0,0,0,0.0,0,0,0.0,0.25,13.5,4.5
20160401,LG,61891,B,5,2,2,0,0,0,0.0,0,0,0.0,0.4,5.4,5.4
20160401,LG,62146,B,1,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
20160401,LG,62698,B,18,3,7,2,0,0,0.0,0,4,6.0,0.42857142857142855,6.0,1.5
20160401,HH,65764,T,4,2,0,1,0,0,0.0,0,1,6.75,0.3333333333333333,6.75,6.75
20160401,LG,70839,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
20160401,LG,71118,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
20160401,HH,72447,T,6,0,1,0,0,0,1.0,0,0,0.0,0.2,9.0,0.0
20160401,HH,73801,T,9,1,3,1,0,1,1.0,0,3,9.0,0.4444444444444444,12.0,3.0
20160401,HH,74731,T,1,1,1,0,0,0,0.0,0,0,0.0,1.0,27.0,27.0
20160401,HH,74857,T,9,0,0,0,0,0,0.0,0,0,0.0,0.0,6.0,0.0
20160401,HH,99737,T,5,1,1,0,0,0,0.0,1,0,0.0,0.2,5.4,5.4
20160401,NC,62966,B,3,0,0,1,0,0,0.0,0,0,0.0,0.5,18.0,0.0
20160401,NC,63938,B,17,2,4,2,0,1,0.0,2,4,6.352941176470588,0.35294117647058826,7.9411764705882355,3.176470588235294
20160401,HT,66628,T,6,2,3,0,0,0,0.0,0,1,4.5,0.5,9.0,4.5
20160401,NC,75867,B,4,2,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13.5
20160401,HT,77637,T,18,4,2,2,0,2,0.0,0,4,6.0,0.3076923076923077,10.5,6.0
20160401,NC,78352,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
20160401,SK,62056,B,3,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9.0
20160401,KT,64001,T,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
20160401,SK,64893,B,5,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
20160401,KT,66049,T,18,0,3,3,0,1,0.0,0,4,6.0,0.2727272727272727,3.0,0.0
20160401,SK,71845,B,4,0,1,0,0,0,0.0,0,0,0.0,0.3333333333333333,13.5,0.0
20160401,SK,72523,B,1,1,1,0,0,0,0.0,0,1,27.0,1.0,27.0,27.0
20160401,KT,75149,T,2,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
20160401,KT,77318,T,6,0,1,2,0,0,0.0,0,0,0.0,0.6,13.5,0.0
20160401,SK,77829,B,14,4,7,0,0,2,1.0,0,7,13.5,0.4117647058823529,7.7142857142857135,5.785714285714286
20160401,WO,60339,B,3,1,1,0,0,0,0.0,0,0,0.0,0.25,0.0,9.0
20160401,WO,65331,B,18,0,7,2,0,0,1.0,0,1,1.5,0.42857142857142855,7.5,0.0
20160401,LT,65543,T,18,5,3,1,0,0,0.0,0,0,0.0,0.25,7.5,7.5
20160401,LT,70615,T,2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
20160401,LT,71801,T,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
20160401,LT,72535,T,1,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
20160401,WO,72749,B,3,1,0,0,0,0,0.0,0,0,0.0,0.0,9.0,9.0
20160401,LT,72862,T,2,0,1,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0
20160401,LT,75321,T,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
20160401,WO,75342,B,3,0,1,0,0,0,0.0,0,0,0.0,0.25,0.0,0.0
20160401,OB,61240,T,18,1,6,0,0,0,0.5,0,1,1.5,0.35294117647058826,7.5,1.5
20160401,SS,61457,B,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
20160401,OB,63248,T,2,0,1,0,0,0,0.0,0,0,0.0,0.5,13.5,0.0
20160401,OB,76329,T,3,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9.0
20160401,SS,76455,B,18,4,4,0,0,1,0.6666666666666666,0,3,4.5,0.2,1.5,4.5
20160401,OB,77263,T,4,1,1,0,0,0,0.0,1,0,0.0,0.25,0.0,6.75
20160401,SS,77446,B,1,0,1,0,0,0,0.0,0,0,0.0,1.0,27.0,0.0
20160401,SS,79791,B,3,0,0,0,0,0,0.0,0,0,0.0,0.0,9.0,0.0
20160401,SS,99445,B,5,1,1,0,0,1,0.0,0,1,5.3999999999999995,0.25,0.0,0.0
20160402,LG,60146,B,1,1,1,1,0,0,0.0,0,3,81.0,0.6666666666666666,0.0,27.0
20160402,HH,60764,T,0,2,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0
20160402,LG,61891,B,3,1,1,1,0,0,0.0,0,1,9.0,0.6666666666666666,9.0,0.0
20160402,LG,62146,B,2,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,13.5
20160402,HH,66741,T,5,2,3,1,0,0,0.3333333333333333,0,3,16.2,0.5714285714285714,0.0,10.8
20160402,LG,70839,B,1,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
20160402,LG,71118,B,4,0,1,0,0,0,0.0,0,0,0.0,0.5,20.25,0.0
20160402,HH,71260,T,3,1,0,0,1,0,0.0,0,1,9.0,0.3333333333333333,9.0,9.0
20160402,HH,72447,T,5,1,2,1,0,0,0.0,1,2,10.799999999999999,0.5,10.8,5.4
20160402,LG,73117,B,15,3,3,2,0,0,0.0,0,3,5.4,0.3333333333333333,7.2,5.4
20160402,HH,74731,T,7,0,1,0,0,0,0.0,1,0,0.0,0.3333333333333333,19.285714285714285,0.0
20160402,LG,76650,B,0,0,1,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0
20160402,LG,79140,B,7,1,2,0,0,0,0.0,0,0,0.0,0.25,0.0,0.0
20160402,HH,79764,T,10,3,2,0,0,1,0.0,0,1,2.6999999999999997,0.18181818181818182,2.7,8.1
20160402,HT,60636,T,2,1,0,0,0,1,0.0,0,2,27.0,0.0,13.5,13.5
20160402,NC,62966,B,3,0,0,0,0,1,0.0,0,1,9.0,0.0,9.0,0.0
20160402,NC,63959,B,1,0,0,0,0,0,0.0,0,0,0.0,0.0,27.0,0.0
20160402,NC,64907,B,3,3,0,0,0,0,0.0,0,0,0.0,0.0,9.0,18.0
