GDAY_DS,P_ID,TB_SC,PA-AB,AB,RUN,RBI,HIT,SH+SF,KK,AVG,SB_trial
2016-04-01,60404,T,0,1,0,0,1,0,0,1.0,0
2016-04-01,61102,B,0,3,0,0,0,0,2,0.0,0
2016-04-01,61186,B,0,4,2,2,3,0,1,0.75,1
2016-04-01,62164,B,1,0,0,0,0,0,0,0.0,0
2016-04-01,62700,T,0,2,1,0,1,0,0,0.5,0
2016-04-01,63077,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,63123,B,1,2,0,0,0,0,1,0.0,0
2016-04-01,64086,T,2,4,0,0,0,1,3,0.0,0
2016-04-01,64153,B,0,1,0,1,1,0,0,1.0,0
2016-04-01,65103,B,0,5,0,1,1,0,0,0.2,0
2016-04-01,65115,B,0,1,0,0,0,0,0,0.0,0
2016-04-01,66740,T,0,6,0,0,2,0,0,0.3333333333333333,0
2016-04-01,71347,T,0,6,1,1,0,0,2,0.0,0
2016-04-01,71610,T,0,1,0,0,0,0,1,0.0,0
2016-04-01,71752,T,0,6,0,2,1,0,1,0.16666666666666666,0
2016-04-01,71842,B,0,2,0,0,0,0,1,0.0,0
2016-04-01,72133,B,0,5,0,0,0,0,0,0.0,0
2016-04-01,73136,T,1,4,0,1,4,1,0,1.0,0
2016-04-01,74729,T,0,6,0,0,2,0,2,0.3333333333333333,0
2016-04-01,74823,B,2,4,1,0,1,1,0,0.25,1
2016-04-01,75808,T,2,4,2,0,2,0,0,0.5,0
2016-04-01,76100,B,0,5,0,0,2,0,2,0.4,1
2016-04-01,78217,B,0,0,1,0,0,0,0,0.0,0
2016-04-01,79150,B,0,5,0,0,0,0,3,0.0,0
2016-04-01,79192,B,0,1,0,0,0,0,0,0.0,0
2016-04-01,79198,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,95158,T,0,2,0,0,0,0,1,0.0,0
2016-04-01,98144,T,1,4,0,0,0,1,0,0.0,0
2016-04-01,99606,B,1,4,1,0,1,0,1,0.25,0
2016-04-01,61743,T,0,3,0,0,0,0,2,0.0,0
2016-04-01,62907,B,0,3,0,0,0,0,3,0.0,0
2016-04-01,62934,B,1,3,1,0,1,0,2,0.3333333333333333,0
2016-04-01,62947,B,0,4,0,0,1,0,0,0.25,0
2016-04-01,64646,T,0,0,0,0,0,0,0,0.0,0
2016-04-01,64699,T,0,4,2,0,2,0,0,0.5,0
2016-04-01,64914,B,0,4,2,2,2,0,1,0.5,0
2016-04-01,65653,T,0,1,0,0,0,0,1,0.0,0
2016-04-01,70410,T,1,3,1,0,0,0,0,0.0,0
2016-04-01,70756,T,1,3,0,0,2,0,0,0.6666666666666666,0
2016-04-01,71207,T,0,4,0,2,1,0,0,0.25,0
2016-04-01,72303,T,1,3,0,0,0,0,1,0.0,0
2016-04-01,73213,B,1,3,0,1,2,0,0,0.6666666666666666,0
2016-04-01,73306,B,1,0,0,0,0,1,0,0.0,0
2016-04-01,73339,B,2,2,0,0,0,0,1,0.0,0
2016-04-01,74223,B,0,1,0,0,0,0,0,0.0,0
2016-04-01,74465,B,1,3,1,0,1,0,1,0.3333333333333333,0
2016-04-01,74605,T,0,5,0,0,1,0,2,0.2,0
2016-04-01,77454,B,0,0,0,0,0,0,0,0.0,0
2016-04-01,78122,B,0,3,0,0,1,0,0,0.3333333333333333,0
2016-04-01,78629,T,0,2,0,0,0,0,1,0.0,0
2016-04-01,78643,T,1,3,1,1,2,0,1,0.6666666666666666,0
2016-04-01,78765,T,0,3,0,0,0,0,2,0.0,0
2016-04-01,94629,B,0,4,1,2,1,0,1,0.25,0
2016-04-01,64006,T,0,0,0,0,0,0,0,0.0,1
2016-04-01,64007,T,0,0,0,0,0,0,0,0.0,0
2016-04-01,66805,B,0,4,1,3,1,0,1,0.25,0
2016-04-01,70553,T,0,4,1,2,2,0,0,0.5,0
2016-04-01,70646,T,2,3,0,1,0,1,1,0.0,0
2016-04-01,71837,B,0,4,0,0,0,0,1,0.0,0
2016-04-01,71857,B,0,4,1,0,2,0,1,0.5,0
2016-04-01,73113,T,1,4,1,0,1,0,0,0.25,0
2016-04-01,73153,T,0,5,0,0,0,0,1,0.0,0
2016-04-01,74339,T,2,3,1,0,2,0,0,0.6666666666666666,0
2016-04-01,74846,B,0,4,0,0,1,0,0,0.25,0
2016-04-01,75151,B,0,4,0,0,0,0,1,0.0,0
2016-04-01,75847,B,0,4,0,0,0,0,2,0.0,0
2016-04-01,76802,B,0,4,1,1,2,0,0,0.5,0
