GDAY_DS,P_ID,TB_SC,INN2,BF,PA-AB,AB,HIT,H2,H3,HR,SB_SR,KK,WP,ER,ERA
2016-04-01,60146,B,6,29,1,7,1,0,0,0,0.0,3,0,0,0.0
2016-04-01,61891,B,5,33,2,6,2,0,0,0,0.0,1,0,0,0.0
2016-04-01,62146,B,1,7,0,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-01,62698,B,18,94,3,25,9,2,0,0,0.0,4,0,4,0.6666666666666666
2016-04-01,65764,T,4,27,2,4,1,1,0,0,0.0,1,0,1,0.75
2016-04-01,70839,B,3,11,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-01,71118,B,3,10,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-01,72447,T,6,29,0,7,1,0,0,0,1.0,2,0,0,0.0
2016-04-01,73801,T,9,57,1,14,5,1,0,1,1.0,4,0,3,1.0
2016-04-01,74731,T,1,18,1,2,1,0,0,0,0.0,1,0,0,0.0
2016-04-01,74857,T,9,27,0,9,0,0,0,0,0.0,2,0,0,0.0
2016-04-01,99737,T,5,38,1,6,1,0,0,0,0.0,1,1,0,0.0
2016-04-01,62966,B,3,19,0,4,1,1,0,0,0.0,2,0,0,0.0
2016-04-01,63938,B,17,85,2,23,7,2,0,1,0.0,5,2,4,0.7058823529411764
2016-04-01,66628,T,6,35,2,8,3,0,0,0,0.0,2,0,1,0.5
2016-04-01,75867,B,4,27,2,4,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,77637,T,18,112,4,22,6,2,0,2,0.0,7,0,4,0.6666666666666666
2016-04-01,78352,B,3,12,0,3,0,0,0,0,0.0,3,0,0,0.0
2016-04-01,62056,B,3,11,1,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,64001,T,1,6,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,64893,B,5,15,0,5,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,66049,T,18,106,0,25,7,3,0,1,0.0,2,0,4,0.6666666666666666
2016-04-01,71845,B,4,16,0,5,1,0,0,0,0.0,2,0,0,0.0
2016-04-01,72523,B,1,18,1,2,1,0,0,0,0.0,1,0,1,3.0
2016-04-01,75149,T,2,7,0,2,0,0,0,0,0.0,2,0,0,0.0
2016-04-01,77318,T,6,28,0,8,3,2,0,0,0.0,3,0,0,0.0
2016-04-01,77829,B,14,91,4,22,9,0,0,2,1.0,4,0,7,1.5
2016-04-01,60339,B,3,22,1,4,1,0,0,0,0.0,0,0,0,0.0
2016-04-01,65331,B,18,90,0,26,9,2,0,0,1.0,5,0,1,0.16666666666666666
2016-04-01,65543,T,18,98,5,21,4,1,0,0,0.0,5,0,0,0.0
2016-04-01,70615,T,2,9,0,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,71801,T,1,4,1,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,72535,T,1,6,0,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-01,72749,B,3,17,1,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-01,72862,T,2,12,0,2,1,0,0,0,0.0,0,0,0,0.0
2016-04-01,75321,T,3,9,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-01,75342,B,3,16,0,4,1,0,0,0,0.0,0,0,0,0.0
2016-04-01,61240,T,18,101,1,22,6,0,0,0,0.5,5,0,1,0.16666666666666666
2016-04-01,61457,B,0,2,1,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,63248,T,2,11,0,3,1,0,0,0,0.0,1,0,0,0.0
2016-04-01,76329,T,3,16,1,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-01,76455,B,18,110,4,21,5,0,0,1,0.6666666666666666,1,0,3,0.5
2016-04-01,77263,T,4,18,1,4,1,0,0,0,0.0,0,1,0,0.0
2016-04-01,77446,B,1,7,0,2,1,0,0,0,0.0,1,0,0,0.0
2016-04-01,79791,B,3,18,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-01,99445,B,5,10,1,5,2,0,0,1,0.0,0,0,1,0.6
2016-04-02,60146,B,1,16,1,3,2,1,0,0,0.0,0,0,3,9.0
2016-04-02,60764,T,0,16,2,0,0,0,0,0,0.0,0,0,1,0.0
2016-04-02,61891,B,3,9,1,4,2,1,0,0,0.0,1,0,1,1.0
2016-04-02,62146,B,2,11,1,2,0,0,0,0,0.0,0,0,0,0.0
2016-04-02,66741,T,5,42,2,7,4,1,0,0,0.3333333333333333,0,0,3,1.7999999999999998
2016-04-02,70839,B,1,6,0,1,0,0,0,0,0.0,1,0,0,0.0
2016-04-02,71118,B,4,16,0,5,1,0,0,0,0.0,3,0,0,0.0
2016-04-02,71260,T,3,23,1,4,1,0,1,0,0.0,1,0,1,1.0
2016-04-02,72447,T,5,34,1,8,3,1,0,0,0.0,2,1,2,1.2
2016-04-02,73117,B,15,86,3,19,5,2,0,0,0.0,4,0,3,0.6
2016-04-02,74731,T,7,34,0,8,1,0,0,0,0.0,5,1,0,0.0
2016-04-02,76650,B,0,1,0,1,1,0,0,0,0.0,0,0,0,0.0
2016-04-02,79140,B,7,31,1,8,2,0,0,0,0.0,0,0,0,0.0
2016-04-02,79764,T,10,73,3,13,3,0,0,1,0.0,1,0,1,0.3
2016-04-02,60636,T,2,17,1,3,1,0,0,1,0.0,1,0,2,3.0
2016-04-02,62966,B,3,16,0,4,1,0,0,1,0.0,1,0,1,1.0
2016-04-02,63959,B,1,4,0,1,0,0,0,0,0.0,1,0,0,0.0
2016-04-02,64907,B,3,20,3,1,0,0,0,0,0.0,1,0,0,0.0
2016-04-02,65931,B,15,93,3,22,7,2,0,0,1.0,2,0,3,0.6
2016-04-02,65933,B,2,11,0,2,0,0,0,0,0.0,2,0,0,0.0
2016-04-02,66643,T,21,111,2,26,6,1,0,0,1.0,3,0,1,0.14285714285714285
2016-04-02,66928,B,2,7,0,2,0,0,0,0,0.0,1,0,0,0.0
2016-04-02,75668,T,4,18,0,4,0,0,0,0,0.0,1,0,0,0.0
2016-04-02,78243,B,1,1,0,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-02,60264,T,8,49,2,12,5,0,0,1,1.0,1,0,3,1.125
2016-04-02,65056,T,7,40,2,7,1,1,0,0,0.0,1,0,0,0.0
2016-04-02,65062,T,6,32,0,7,1,0,0,0,1.0,3,0,0,0.0
2016-04-02,65067,T,6,32,1,8,2,0,0,0,0.0,1,0,0,0.0
2016-04-02,65856,B,18,99,2,24,7,0,0,0,0.0,2,0,2,0.3333333333333333
2016-04-02,71845,B,5,31,2,4,1,0,0,0,0.0,1,0,0,0.0
2016-04-02,75138,B,1,6,2,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-02,75250,B,6,26,1,6,0,0,0,0,0.0,0,1,0,0.0
2016-04-02,77318,T,1,20,2,3,1,1,0,0,0.0,0,1,1,3.0
2016-04-02,63935,T,6,28,0,9,3,0,0,0,0.0,2,0,0,0.0
2016-04-02,65343,B,3,15,0,4,1,0,0,0,0.0,1,0,0,0.0
2016-04-02,65546,T,17,89,4,20,6,0,0,0,0.5,4,0,4,0.7058823529411764
2016-04-02,66323,B,15,93,4,17,2,1,0,0,1.0,5,0,1,0.2
2016-04-02,71801,T,1,10,1,1,0,0,0,0,0.0,0,0,0,0.0
2016-04-02,72749,B,3,18,0,3,1,1,0,0,0.0,2,0,0,0.0
2016-04-02,75342,B,3,17,1,4,1,0,0,0,0.0,1,0,0,0.0
2016-04-02,76350,B,3,24,0,6,3,1,0,0,0.0,0,0,2,2.0
2016-04-02,61295,T,2,10,1,2,1,0,0,1,0.0,0,0,2,3.0
2016-04-02,61365,B,5,25,0,6,1,1,0,0,0.0,0,0,0,0.0
2016-04-02,61411,B,5,33,1,6,1,1,0,0,0.0,2,0,1,0.6
2016-04-02,63248,T,0,1,0,1,1,0,0,0,0.0,0,0,0,0.0
2016-04-02,66402,B,15,75,3,20,6,3,0,1,1.0,3,0,4,0.8
2016-04-02,73241,T,5,25,0,5,0,0,0,0,1.0,3,0,0,0.0
2016-04-02,74630,B,1,15,0,2,1,0,0,0,0.0,1,0,0,0.0
2016-04-02,77263,T,1,7,1,3,2,1,1,0,0.0,0,0,3,9.0
2016-04-02,77927,B,1,12,0,4,3,1,0,0,0.0,0,0,1,3.0
2016-04-02,79229,T,16,92,3,25,12,2,0,1,0.0,4,0,5,0.9375
2016-04-03,60841,B,18,112,6,19,1,1,0,0,0.0,8,0,2,0.3333333333333333
2016-04-03,64893,B,4,28,0,5,1,0,0,0,0.0,1,0,0,0.0
2016-04-03,65062,T,3,13,0,3,0,0,0,0,0.0,1,0,0,0.0
2016-04-03,65067,T,0,6,1,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-03,66032,T,20,107,3,22,5,1,0,0,0.5,3,0,2,0.3
2016-04-03,73248,B,1,6,0,2,1,1,0,0,0.0,0,0,1,3.0
2016-04-03,75138,B,1,5,0,3,2,0,0,1,0.0,0,0,2,6.0
2016-04-03,75149,T,3,20,0,5,2,0,0,0,0.0,0,0,1,1.0
2016-04-03,75250,B,3,16,1,4,2,0,0,0,0.0,0,0,0,0.0
2016-04-03,77318,T,1,12,2,2,1,1,0,0,0.0,0,0,1,3.0
2016-04-03,60342,B,2,11,0,4,2,0,0,0,0.0,0,0,1,1.5
2016-04-03,65343,B,3,18,1,4,1,0,0,0,0.0,0,0,1,1.0
2016-04-03,65348,B,15,71,1,20,5,0,0,0,0.0,3,0,0,0.0
2016-04-03,70615,T,0,6,1,0,0,0,0,0,0.0,0,0,0,0.0
2016-04-03,72551,T,3,19,1,3,0,0,0,0,0.0,0,0,0,0.0
2016-04-03,72862,T,4,32,3,5,2,1,0,0,1.0,2,0,1,0.75
2016-04-03,73226,T,4,29,1,6,2,0,0,0,0.0,1,0,0,0.0
2016-04-03,74359,B,0,6,0,1,1,1,0,0,0.0,0,0,0,0.0
2016-04-03,76350,B,4,23,0,6,2,0,1,0,0.0,1,0,1,0.75
2016-04-03,76430,B,3,23,3,3,1,0,0,0,0.0,1,0,1,1.0
2016-04-03,77591,T,14,92,2,20,7,1,0,0,1.0,4,1,5,1.0714285714285714
2016-04-05,60181,T,2,6,0,2,0,0,0,0,0.0,0,0,0,0.0
