GDAY_DS,T_ID,TB_SC,PA-AB,AB,RUN,HIT,RBI,SH+SF,KK,AVG,SB_trial,BABIP
20160401,LG,B,5,42,5,9,4,1,11,0.21428571428571427,3,0.26666666666666666
20160401,HH,T,6,46,4,13,4,3,10,0.2826086956521739,0,0.3611111111111111
20160401,NC,B,6,30,5,9,5,1,9,0.3,0,0.3684210526315789
20160401,HT,T,4,34,4,8,3,0,10,0.23529411764705882,0,0.30434782608695654
20160401,SK,B,0,36,4,10,4,0,7,0.2777777777777778,0,0.32142857142857145
20160401,KT,T,6,36,8,11,7,1,7,0.3055555555555556,3,0.32142857142857145
20160401,WO,B,6,30,1,6,1,1,6,0.2,2,0.24
20160401,LT,T,2,37,2,11,1,0,6,0.2972972972972973,1,0.3548387096774194
20160401,SS,B,3,32,1,8,1,0,6,0.25,2,0.3076923076923077
20160401,OB,T,6,31,5,8,4,2,3,0.25806451612903225,3,0.2222222222222222
20160402,LG,B,9,40,8,12,8,0,9,0.3,3,0.36666666666666664
20160402,HH,T,7,43,7,13,7,2,9,0.3023255813953488,1,0.38235294117647056
20160402,NC,B,3,33,3,7,3,0,5,0.21212121212121213,1,0.2222222222222222
20160402,HT,T,6,33,4,8,4,1,8,0.24242424242424243,2,0.2916666666666667
20160402,SK,B,7,37,4,10,4,0,6,0.2702702702702703,2,0.3
20160402,KT,T,7,34,3,8,3,1,3,0.23529411764705882,2,0.25806451612903225
20160402,WO,B,5,30,5,9,5,0,6,0.3,2,0.375
20160402,LT,T,5,34,3,8,3,0,9,0.23529411764705882,3,0.32
20160402,SS,B,5,36,10,16,10,2,7,0.4444444444444444,2,0.5185185185185185
20160402,OB,T,4,38,6,12,6,0,6,0.3157894736842105,1,0.3548387096774194
20160403,SK,B,6,32,4,8,4,1,4,0.25,2,0.27586206896551724
20160403,KT,T,7,33,5,7,5,0,9,0.21212121212121213,1,0.2608695652173913
20160403,WO,B,8,34,6,11,6,1,7,0.3235294117647059,3,0.4074074074074074
20160403,LT,T,5,38,5,12,5,1,5,0.3157894736842105,0,0.35294117647058826
20160405,HT,B,3,28,4,6,4,0,10,0.21428571428571427,0,0.29411764705882354
20160405,LG,T,1,34,1,7,1,0,9,0.20588235294117646,1,0.28
20160405,OB,B,11,28,6,6,5,0,5,0.21428571428571427,3,0.2608695652173913
20160405,NC,T,6,31,2,5,2,0,9,0.16129032258064516,0,0.22727272727272727
20160405,LT,B,4,30,2,5,2,0,7,0.16666666666666666,0,0.21739130434782608
20160405,SK,T,5,30,1,4,1,1,12,0.13333333333333333,1,0.21052631578947367
20160405,KT,B,10,32,8,11,8,2,6,0.34375,2,0.37037037037037035
20160405,SS,T,7,38,3,10,3,0,6,0.2631578947368421,0,0.3125
20160405,HH,B,6,35,9,13,8,1,1,0.37142857142857144,1,0.37142857142857144
20160405,WO,T,8,32,5,7,4,0,11,0.21875,4,0.3
20160406,OB,B,2,30,2,5,2,0,8,0.16666666666666666,0,0.19047619047619047
20160406,NC,T,1,28,0,2,0,0,12,0.07142857142857142,0,0.125
20160406,LT,B,4,27,11,14,11,1,2,0.5185185185185185,2,0.5
20160406,SK,T,5,16,1,1,1,0,2,0.0625,0,0.07142857142857142
20160406,KT,B,2,36,6,7,6,0,6,0.19444444444444445,0,0.14814814814814814
20160406,SS,T,6,41,11,14,7,1,3,0.34146341463414637,2,0.3684210526315789
20160406,HH,B,1,35,4,11,4,1,5,0.3142857142857143,1,0.32142857142857145
20160406,WO,T,8,32,6,6,5,0,12,0.1875,0,0.3
20160407,HT,B,3,34,4,9,4,0,6,0.2647058823529412,2,0.32142857142857145
20160407,LG,T,5,38,8,11,8,0,9,0.2894736842105263,2,0.3333333333333333
20160407,OB,B,4,36,2,10,2,0,9,0.2777777777777778,0,0.37037037037037035
20160407,NC,T,2,41,8,15,8,0,4,0.36585365853658536,1,0.40540540540540543
20160407,LT,B,2,31,3,5,3,1,8,0.16129032258064516,0,0.17391304347826086
20160407,SK,T,6,36,8,12,8,2,5,0.3333333333333333,3,0.3
20160407,KT,B,4,30,1,4,1,0,9,0.13333333333333333,1,0.19047619047619047
20160407,SS,T,5,35,3,9,3,1,4,0.2571428571428571,3,0.26666666666666666
20160407,HH,B,1,39,3,12,3,0,10,0.3076923076923077,0,0.37037037037037035
