GDAY_DS,T_ID,TB_SC,INN2,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,ER,ERA,BABIP,KK9,BB9
20160401,LG,B,36,184,6,46,13,11,2,0,0,0.0,10,0,4,0.3333333333333333,0.3611111111111111,7.5,2.25
20160401,HH,T,34,196,5,42,9,6,2,0,1,0.6666666666666666,11,1,4,0.3529411764705882,0.26666666666666666,8.73529411764706,3.176470588235294
20160401,NC,B,27,143,4,34,8,4,3,0,1,0.0,10,2,4,0.4444444444444444,0.30434782608695654,10.0,4.0
20160401,HT,T,24,147,6,30,9,5,2,0,2,0.0,9,0,5,0.625,0.3684210526315789,10.125,5.625
20160401,SK,B,27,151,6,36,11,9,0,0,2,0.6666666666666666,7,0,8,0.8888888888888888,0.32142857142857145,7.0,5.0
20160401,KT,T,27,147,0,36,10,4,5,0,1,0.0,7,0,4,0.4444444444444444,0.32142857142857145,7.0,0.0
20160401,WO,B,27,145,2,37,11,9,2,0,0,1.0,6,0,1,0.1111111111111111,0.3548387096774194,6.0,2.0
20160401,LT,T,27,138,6,30,6,5,1,0,0,0.0,6,0,0,0.0,0.24,6.0,5.0
20160401,SS,B,27,147,6,31,8,6,0,0,2,0.6666666666666666,3,0,4,0.4444444444444444,0.2222222222222222,3.0,4.0
20160401,OB,T,27,146,3,32,8,8,0,0,0,0.5,6,1,1,0.1111111111111111,0.3076923076923077,6.0,3.0
20160402,LG,B,33,176,7,43,13,9,4,0,0,0.0,9,0,7,0.6363636363636364,0.38235294117647056,7.363636363636363,4.090909090909091
20160402,HH,T,30,222,9,40,12,8,2,1,1,0.3333333333333333,9,2,8,0.8,0.36666666666666664,8.1,8.1
20160402,NC,B,27,152,6,33,8,5,2,0,1,0.5,8,0,4,0.4444444444444444,0.2916666666666667,8.0,5.0
20160402,HT,T,27,146,3,33,7,5,1,0,1,1.0,5,0,3,0.3333333333333333,0.2222222222222222,5.0,3.0
20160402,SK,B,30,162,7,34,8,8,0,0,0,0.0,3,1,2,0.2,0.25806451612903225,2.7,5.4
20160402,KT,T,28,173,7,37,10,7,2,0,1,1.0,6,1,4,0.42857142857142855,0.3,5.785714285714286,6.75
20160402,WO,B,27,167,5,34,8,5,3,0,0,0.6666666666666666,9,0,3,0.3333333333333333,0.32,9.0,5.0
20160402,LT,T,24,127,5,30,9,9,0,0,0,0.5,6,0,4,0.5,0.375,6.75,5.625
20160402,SS,B,27,160,4,38,12,5,6,0,1,1.0,6,0,6,0.6666666666666666,0.3548387096774194,6.0,4.0
20160402,OB,T,24,135,5,36,16,10,3,1,2,0.5,7,0,10,1.25,0.5185185185185185,7.875000000000001,3.375
20160403,SK,B,27,167,7,33,7,4,2,0,1,0.0,9,0,5,0.5555555555555556,0.2608695652173913,9.0,7.0
20160403,KT,T,27,158,6,32,8,6,2,0,0,0.5,4,0,4,0.4444444444444444,0.27586206896551724,4.0,5.0
20160403,WO,B,27,152,5,38,12,10,1,1,0,0.0,5,0,4,0.4444444444444444,0.35294117647058826,5.0,4.0
20160403,LT,T,25,178,8,34,11,9,2,0,0,1.0,7,1,6,0.72,0.4074074074074074,7.5600000000000005,7.5600000000000005
20160405,HT,B,27,137,1,34,7,7,0,0,0,1.0,9,0,1,0.1111111111111111,0.28,9.0,1.0
20160405,LG,T,24,123,3,28,6,4,1,0,1,0.0,10,1,2,0.25,0.29411764705882354,11.25,3.375
20160405,OB,B,27,146,6,31,5,5,0,0,0,0.0,9,0,2,0.2222222222222222,0.22727272727272727,9.0,6.0
20160405,NC,T,24,156,11,28,6,4,1,1,0,0.6666666666666666,5,0,6,0.75,0.2608695652173913,5.625,12.375
20160405,LT,B,27,152,5,30,4,2,2,0,0,1.0,12,0,1,0.1111111111111111,0.21052631578947367,12.0,4.0
20160405,SK,T,24,111,4,30,5,5,0,0,0,0.0,7,1,2,0.25,0.21739130434782608,7.875000000000001,4.5
20160405,KT,B,27,181,7,38,10,8,2,0,0,0.0,6,1,2,0.2222222222222222,0.3125,6.0,7.0
20160405,SS,T,24,159,10,32,11,6,4,0,1,1.0,6,1,8,1.0,0.37037037037037035,6.75,9.0
20160405,HH,B,27,180,8,32,7,6,0,0,1,0.5,11,3,3,0.3333333333333333,0.3,11.0,8.0
20160405,WO,T,24,129,6,35,13,9,4,0,0,1.0,1,1,8,1.0,0.37142857142857144,1.125,5.625
20160406,OB,B,27,118,1,28,2,2,0,0,0,0.0,12,0,0,0.0,0.125,12.0,1.0
