GYEAR,PCODE,T_ID,AGE_VA
2016,60100,LG,28
2016,60105,LG,25
2016,60146,LG,25
2016,60164,LG,25
2016,60181,LG,28
2016,60255,OB,25
2016,60263,NC,26
2016,60264,KT,25
2016,60304,NC,29
2016,60337,SK,25
2016,60339,WO,25
2016,60342,WO,29
2016,60343,KT,29
2016,60404,HH,28
2016,60441,OB,29
2016,60454,SS,25
2016,60456,SS,28
2016,60457,SS,28
2016,60464,SS,25
2016,60496,KT,26
2016,60523,LT,29
2016,60558,LT,25
2016,60559,LT,27
2016,60566,NC,27
2016,60605,HT,29
2016,60634,HT,25
2016,60636,HT,25
2016,60648,HT,25
2016,60658,HT,30
2016,60667,HH,30
2016,60713,HH,25
2016,60724,SS,29
2016,60757,HH,25
2016,60764,HH,25
2016,60768,HH,26
2016,60805,HH,29
2016,60841,SK,25
2016,60845,SK,29
2016,60848,KT,29
2016,60864,SK,29
2016,60865,KT,27
2016,60949,LG,29
2016,61101,LG,24
2016,61102,LG,24
2016,61108,LG,24
2016,61114,LG,27
2016,61145,LG,24
2016,61186,LG,28
2016,61194,LG,28
2016,61197,OB,28
2016,61204,LT,28
2016,61208,OB,28
2016,61214,OB,24
2016,61215,OB,28
2016,61240,OB,35
2016,61295,OB,24
2016,61323,NC,23
2016,61329,LG,28
2016,61353,WO,27
2016,61365,SS,28
2016,61366,WO,24
2016,61396,WO,24
2016,61411,SS,23
2016,61457,SS,28
2016,61463,SS,31
2016,61492,SS,28
2016,61527,OB,28
2016,61554,LT,27
2016,61557,SK,25
2016,61569,LT,29
2016,61591,LT,29
2016,61643,HT,24
2016,61652,HT,28
2016,61665,SS,26
2016,61666,HT,23
2016,61700,HH,24
2016,61715,HT,24
2016,61742,SS,28
2016,61743,HT,24
2016,61767,HH,24
2016,61891,LG,25
2016,61893,SK,24
2016,61895,SK,24
2016,61929,KT,28
2016,62007,LG,31
2016,62016,NC,27
2016,62056,SK,28
2016,62146,LG,27
2016,62147,LG,27
2016,62164,LG,27
2016,62234,OB,22
2016,62242,OB,27
2016,62244,OB,26
2016,62265,KT,27
2016,62302,WO,28
2016,62322,WO,37
2016,62332,WO,23
2016,62338,WO,23
2016,62349,HT,37
2016,62353,WO,27
2016,62363,WO,23
2016,62404,SS,23
2016,62406,SS,27
2016,62415,SS,26
2016,62463,LG,23
2016,62522,LT,30
2016,62528,LT,23
2016,62537,LG,26
2016,62556,LT,27
2016,62558,LT,22
2016,62559,LT,27
2016,62591,LT,27
2016,62611,HH,27
2016,62648,HT,23
2016,62655,LT,27
2016,62668,HT,27
2016,62698,LG,31
2016,62700,HH,22
2016,62768,HH,27
2016,62770,HH,23
2016,62797,HH,27
2016,62802,SK,24
2016,62864,SK,27
2016,62868,SK,28
2016,62869,SK,27
2016,62893,SK,27
2016,62895,SK,27
2016,62907,NC,23
2016,62908,NC,23
2016,62917,NC,23
2016,62926,NC,23
2016,62927,NC,27
2016,62929,NC,23
2016,62934,NC,23
2016,62937,WO,27
2016,62947,NC,27
2016,62951,NC,22
2016,62966,NC,27
2016,63027,SS,26
2016,63077,LG,31
2016,63088,KT,29
2016,63102,NC,26
2016,63111,LG,33
2016,63123,LG,22
2016,63145,LG,22
2016,63248,OB,21
2016,63257,OB,22
2016,63260,OB,22
2016,63339,WO,22
2016,63342,WO,22
2016,63360,WO,23
2016,63363,WO,22
2016,63440,SS,27
2016,63448,KT,23
2016,63464,SS,22
2016,63512,LT,22
2016,63634,HT,26
2016,63636,HT,26
2016,63638,HT,24
2016,63700,HH,22
2016,63704,HT,26
2016,63722,HT,22
2016,63791,HH,27
2016,63810,SK,33
2016,63894,SK,22
2016,63913,SS,26
2016,63914,NC,26
2016,63920,NC,25
2016,63935,LT,26
2016,63938,NC,33
2016,63950,NC,21
2016,63959,NC,26
2016,63963,NC,26
2016,63991,OB,26
2016,64001,KT,25
2016,64004,KT,21
2016,64006,KT,21
2016,64007,KT,25
2016,64017,KT,22
2016,64021,LT,21
2016,64022,LT,21
2016,64029,KT,21
2016,64041,KT,21
2016,64086,HH,26
2016,64100,LG,21
2016,64115,LG,21
2016,64153,LG,25
2016,64166,KT,21
2016,64204,OB,25
2016,64213,OB,25
2016,64255,OB,21
2016,64259,OB,27
2016,64267,OB,21
2016,64288,OB,25
2016,64300,WO,21
2016,64340,WO,21
2016,64346,WO,21
2016,64350,WO,21
2016,64396,WO,21
2016,64400,SS,26
2016,64468,SS,20
2016,64493,SS,25
2016,64498,SS,21
2016,64499,SS,25
2016,64596,LT,22
2016,64610,HT,25
2016,64646,HT,21
2016,64697,HT,20
2016,64699,HT,32
2016,64706,HH,25
2016,64717,HH,22
2016,64718,LT,24
2016,64724,HH,25
2016,64764,LT,22
2016,64768,SK,21
2016,64769,SS,25
2016,64802,SK,24
2016,64861,SK,21
2016,64890,SK,21
2016,64893,SK,24
2016,64895,SK,21
2016,64906,NC,24
2016,64907,NC,26
2016,64914,NC,30
2016,64944,NC,21
2016,64960,NC,25
2016,64984,NC,21
2016,64992,NC,25
2016,64995,NC,21
2016,65005,KT,33
2016,65040,KT,20
2016,65042,KT,23
2016,65044,KT,20
2016,65048,KT,24
2016,65056,KT,20
2016,65057,KT,24
2016,65058,KT,20
2016,65060,KT,21
2016,65062,KT,26
2016,65064,NC,24
2016,65067,KT,25
2016,65096,KT,21
2016,65103,LG,28
2016,65115,LG,20
2016,65120,LG,20
2016,65206,OB,24
2016,65241,OB,21
2016,65264,OB,20
2016,65293,OB,25
2016,65320,WO,19
2016,65331,KT,31
2016,65343,WO,20
2016,65345,WO,20
2016,65348,WO,20
2016,65357,WO,20
2016,65362,WO,20
2016,65368,WO,21
2016,65392,WO,20
2016,65399,WO,26
2016,65405,SS,24
2016,65412,SS,24
2016,65447,SS,24
2016,65464,SK,20
2016,65503,LT,20
2016,65506,LT,24
2016,65509,LT,20
2016,65513,LT,24
2016,65514,LT,20
2016,65515,LT,24
2016,65516,LT,20
2016,65522,LT,21
2016,65523,LT,31
2016,65543,LT,29
2016,65546,LT,28
2016,65591,LT,26
2016,65610,HT,20
2016,65617,HT,24
2016,65620,HT,20
2016,65653,HT,24
2016,65665,HT,24
2016,65696,HT,24
2016,65702,SK,24
2016,65707,HH,24
2016,65742,HH,31
2016,65764,HH,21
2016,65769,HH,21
2016,65827,SK,20
2016,65844,SK,20
2016,65856,SK,28
2016,65869,SK,24
2016,65894,SK,20
2016,65896,SK,20
2016,65898,WO,20
2016,65904,NC,23
2016,65931,NC,30
2016,65933,NC,19
2016,65949,NC,20
2016,65958,NC,20
2016,66023,KT,22
2016,66032,KT,33
2016,66039,KT,19
2016,66047,KT,19
2016,66049,KT,28
2016,66050,KT,32
2016,66052,KT,25
2016,66068,KT,19
2016,66108,LG,23
2016,66138,LG,32
2016,66145,LG,19
2016,66154,LG,29
2016,66160,LG,19
2016,66162,LG,18
2016,66201,OB,23
2016,66203,OB,23
2016,66207,OB,20
2016,66209,OB,23
2016,66226,OB,30
2016,66233,OB,19
2016,66243,OB,22
2016,66244,OB,30
2016,66306,WO,32
2016,66323,WO,32
2016,66324,WO,30
2016,66354,WO,19
2016,66357,WO,19
2016,66359,WO,19
2016,66367,WO,19
2016,66397,WO,20
2016,66398,WO,19
2016,66399,WO,19
2016,66402,SS,26
2016,66409,SS,23
2016,66423,SS,30
2016,66440,SS,30
2016,66444,SS,24
2016,66446,SS,28
2016,66451,SS,19
2016,66452,SS,33
2016,66462,SS,23
2016,66469,SS,19
2016,66492,SS,24
2016,66493,SS,23
2016,66504,LT,20
2016,66508,LT,25
2016,66523,LT,33
2016,66556,LT,19
2016,66557,LT,20
2016,66563,LT,23
2016,66565,LT,23
2016,66569,LT,19
2016,66606,HT,19
2016,66609,HT,20
2016,66628,HT,27
2016,66629,HT,21
2016,66630,HT,19
2016,66643,HT,29
2016,66657,HT,19
2016,66659,HT,19
2016,66660,HT,20
2016,66662,HT,18
2016,66663,HT,23
2016,66702,HH,20
2016,66705,HH,23
2016,66710,HH,19
2016,66740,HH,27
2016,66741,HH,23
2016,66742,HH,29
2016,66748,HH,31
2016,66749,HH,23
2016,66750,HH,27
2016,66801,SK,19
2016,66804,SK,23
2016,66805,SK,28
2016,66825,SK,28
2016,66833,SK,19
2016,66838,SK,26
2016,66858,SK,19
2016,66859,SK,23
2016,66864,SK,19
2016,66917,NC,19
2016,66920,NC,19
2016,66928,NC,19
2016,66943,NC,19
2016,66956,NC,19
2016,66960,NC,26
2016,66963,NC,19
2016,66965,NC,23
2016,66968,NC,23
2016,66990,NC,23
2016,66992,NC,23
2016,66995,NC,23
2016,67845,KT,30
2016,70142,HT,35
2016,70410,HT,35
2016,70425,HH,35
2016,70553,KT,35
2016,70615,LT,35
2016,70646,KT,36
2016,70756,HT,35
2016,70820,SK,35
2016,70839,LG,33
2016,71118,LG,33
2016,71184,HT,35
2016,71207,HT,38
2016,71260,HH,36
2016,71347,HH,34
2016,71432,SS,37
2016,71552,LT,33
2016,71562,LT,34
2016,71565,LT,34
2016,71610,HH,34
2016,71752,HH,34
2016,71801,LT,38
2016,71837,SK,34
2016,71842,LG,34
2016,71845,SK,34
2016,71848,SK,35
2016,71851,SS,35
2016,71857,SK,34
2016,72133,LG,37
2016,72214,OB,32
2016,72261,WO,33
2016,72303,HT,37
2016,72321,HT,33
2016,72324,SK,33
2016,72443,SS,33
2016,72447,HH,33
2016,72456,LG,33
2016,72463,SS,33
2016,72466,SS,33
2016,72523,HT,33
2016,72535,LT,34
2016,72546,LT,33
2016,72551,LT,37
2016,72559,HT,33
2016,72641,HT,33
2016,72649,SS,33
2016,72749,WO,37
2016,72860,SK,35
2016,72862,LT,33
2016,73113,KT,32
2016,73117,LG,31
2016,73136,HH,32
2016,73153,KT,33
2016,73209,SK,32
2016,73211,LT,32
2016,73213,NC,36
2016,73226,OB,35
2016,73228,SK,32
2016,73241,OB,36
2016,73248,SK,35
2016,73306,NC,32
2016,73339,NC,36
2016,73342,WO,36
2016,73602,HH,35
2016,73606,HT,32
2016,73632,SK,32
2016,73725,HH,35
2016,73738,HH,32
2016,73750,HH,32
2016,73801,HH,32
2016,73824,LG,36
2016,74139,LG,30
2016,74148,HH,31
2016,74158,SS,35
2016,74163,HH,31
2016,74167,HH,35
2016,74206,OB,31
2016,74215,WO,31
2016,74223,NC,35
2016,74339,KT,35
2016,74358,NC,31
2016,74359,WO,31
2016,74402,SS,35
2016,74454,SS,35
2016,74465,NC,31
2016,74513,OB,31
2016,74540,LT,31
2016,74543,KT,31
2016,74556,LT,31
2016,74605,HT,31
2016,74630,SS,31
2016,74729,HH,31
2016,74731,HH,31
2016,74745,HH,36
2016,74748,HH,32
2016,74756,HH,31
2016,74823,LG,31
2016,74838,SK,31
2016,74846,SK,35
2016,74857,HH,31
2016,75138,SK,34
2016,75149,KT,30
2016,75151,SK,30
2016,75250,SK,34
2016,75258,WO,30
2016,75261,SS,30
2016,75268,SS,31
2016,75321,LT,34
2016,75334,OB,30
2016,75340,SK,30
2016,75342,WO,30
2016,75441,NC,34
2016,75566,OB,30
2016,75620,HT,30
2016,75668,HT,30
2016,75730,KT,30
2016,75750,WO,30
