GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,BB,KK,WP,R,ER,ERA
20160401,LG,HH,B,60146,6,29,8,7,1,0,0,0,0,0,1,3,0,0,0,0.0
20160401,LG,HH,B,61891,5,33,8,6,2,0,0,0,0,0,1,1,0,0,0,0.0
20160401,LG,HH,B,62146,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0
20160401,LG,HH,B,62698,18,94,28,25,9,2,0,0,0,0,1,4,0,4,4,0.6666666666666666
20160401,HH,LG,T,65764,4,27,6,4,1,1,0,0,0,0,1,1,0,1,1,0.75
20160401,LG,HH,B,70839,3,11,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0
20160401,LG,HH,B,71118,3,10,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0
20160401,HH,LG,T,72447,6,29,7,7,1,0,0,0,1,0,0,2,0,0,0,0.0
20160401,HH,LG,T,73801,9,57,15,14,5,1,0,1,1,0,1,4,0,3,3,1.0
20160401,HH,LG,T,74731,1,18,3,2,1,0,0,0,0,0,1,1,0,1,0,0.0
20160401,HH,LG,T,74857,9,27,9,9,0,0,0,0,0,0,0,2,0,0,0,0.0
20160401,HH,LG,T,99737,5,38,7,6,1,0,0,0,0,1,1,1,1,0,0,0.0
20160401,NC,HT,B,62966,3,19,4,4,1,1,0,0,0,0,0,2,0,0,0,0.0
20160401,NC,HT,B,63938,17,85,25,23,7,2,0,1,0,0,1,5,2,4,4,0.7058823529411764
20160401,HT,NC,T,66628,6,35,10,8,3,0,0,0,0,0,1,2,0,1,1,0.5
20160401,NC,HT,B,75867,4,27,6,4,0,0,0,0,0,0,2,0,0,0,0,0.0
20160401,HT,NC,T,77637,18,112,26,22,6,2,0,2,0,0,4,7,0,4,4,0.6666666666666666
20160401,NC,HT,B,78352,3,12,3,3,0,0,0,0,0,0,0,3,0,0,0,0.0
20160401,SK,KT,B,62056,3,11,3,2,0,0,0,0,0,1,1,0,0,0,0,0.0
20160401,KT,SK,T,64001,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,SK,KT,B,64893,5,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,KT,SK,T,66049,18,106,25,25,7,3,0,1,0,0,0,2,0,4,4,0.6666666666666666
20160401,SK,KT,B,71845,4,16,5,5,1,0,0,0,0,0,0,2,0,0,0,0.0
20160401,SK,KT,B,72523,1,18,3,2,1,0,0,0,0,0,1,1,0,1,1,3.0
20160401,KT,SK,T,75149,2,7,2,2,0,0,0,0,0,0,0,2,0,0,0,0.0
20160401,KT,SK,T,77318,6,28,8,8,3,2,0,0,0,0,0,3,0,0,0,0.0
20160401,SK,KT,B,77829,14,91,26,22,9,0,0,2,2,0,2,4,0,7,7,1.5
20160401,WO,LT,B,60339,3,22,5,4,1,0,0,0,0,0,1,0,0,0,0,0.0
20160401,WO,LT,B,65331,18,90,26,26,9,2,0,0,1,0,0,5,0,2,1,0.16666666666666666
20160401,LT,WO,T,65543,18,98,26,21,4,1,0,0,0,1,5,5,0,0,0,0.0
20160401,LT,WO,T,70615,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,LT,WO,T,71801,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,LT,WO,T,72535,1,6,2,2,1,0,0,0,0,0,0,0,0,1,0,0.0
20160401,WO,LT,B,72749,3,17,4,3,0,0,0,0,0,0,1,1,0,0,0,0.0
20160401,LT,WO,T,72862,2,12,2,2,1,0,0,0,0,1,0,0,0,0,0,0.0
20160401,LT,WO,T,75321,3,9,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0
20160401,WO,LT,B,75342,3,16,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0
20160401,OB,SS,T,61240,18,101,23,22,6,0,0,0,1,1,1,5,0,1,1,0.16666666666666666
20160401,SS,OB,B,61457,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,OB,SS,T,63248,2,11,3,3,1,0,0,0,0,0,0,1,0,0,0,0.0
20160401,OB,SS,T,76329,3,16,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0
20160401,SS,OB,B,76455,18,110,25,21,5,0,0,1,2,1,3,1,0,4,3,0.5
20160401,OB,SS,T,77263,4,18,5,4,1,0,0,0,0,0,1,0,1,0,0,0.0
20160401,SS,OB,B,77446,1,7,2,2,1,0,0,0,0,0,0,1,0,0,0,0.0
20160401,SS,OB,B,79791,3,18,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0
20160401,SS,OB,B,99445,5,10,6,5,2,0,0,1,0,0,0,0,0,1,1,0.6
20160402,LG,HH,B,60146,1,16,4,3,2,1,0,0,0,0,1,0,0,3,3,9.0
20160402,HH,LG,T,60764,0,16,2,0,0,0,0,0,0,0,2,0,0,1,1,inf
20160402,LG,HH,B,61891,3,9,5,4,2,1,0,0,0,0,0,1,0,1,1,1.0
20160402,LG,HH,B,62146,2,11,3,2,0,0,0,0,0,0,1,0,0,0,0,0.0
20160402,HH,LG,T,66741,5,42,9,7,4,1,0,0,1,2,2,0,0,3,3,1.7999999999999998
20160402,LG,HH,B,70839,1,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0
20160402,LG,HH,B,71118,4,16,5,5,1,0,0,0,0,0,0,3,0,0,0,0.0
20160402,HH,LG,T,71260,3,23,5,4,1,0,1,0,0,0,1,1,0,1,1,1.0
20160402,HH,LG,T,72447,5,34,9,8,3,1,0,0,0,0,1,2,1,2,2,1.2
20160402,LG,HH,B,73117,15,86,22,19,5,2,0,0,0,1,1,4,0,3,3,0.6
20160402,HH,LG,T,74731,7,34,8,8,1,0,0,0,0,0,0,5,1,0,0,0.0
20160402,LG,HH,B,76650,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0
20160402,LG,HH,B,79140,7,31,9,8,2,0,0,0,0,0,0,0,0,0,0,0.0
20160402,HH,LG,T,79764,10,73,16,13,3,0,0,1,0,0,2,1,0,1,1,0.3
20160402,HT,NC,T,60636,2,17,4,3,1,0,0,1,0,0,1,1,0,2,2,3.0
20160402,NC,HT,B,62966,3,16,4,4,1,0,0,1,0,0,0,1,0,1,1,1.0
20160402,NC,HT,B,63959,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0
20160402,NC,HT,B,64907,3,20,4,1,0,0,0,0,0,1,2,1,0,0,0,0.0
20160402,NC,HT,B,65931,15,93,25,22,7,2,0,0,1,0,3,2,0,3,3,0.6
20160402,NC,HT,B,65933,2,11,2,2,0,0,0,0,0,0,0,2,0,0,0,0.0
