B,T,GDAY_DS,T_ID,P_ID,TB_SC,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,SLG,BABIP,KK9,BB9,INN2,ER
0,1,2020-07-17,KT,50030,T,91,2,21,5,4,1,0,0,0.0,4,0,1,0.29411764705882354,6.0,3.0,15.63,2.48
1,0,2020-06-10,KT,50036,B,19,4,3,1,0,0,0,1,0.0,0,0,1,0.0,0.0,54.0,6.34,0.78
0,1,2020-07-19,KT,50040,T,123,2,26,11,8,1,1,1,0.0,6,1,3,0.5263157894736842,11.571428571428573,3.8571428571428568,18.16,2.66
1,0,2020-07-11,LG,50126,B,108,5,24,4,4,0,0,0,0.0,4,0,0,0.2,5.4,6.75,15.7,2.95
0,1,2020-07-07,LG,50157,T,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
1,0,2020-07-16,OB,50234,B,17,1,4,1,1,0,0,0,1.0,2,0,0,0.5,18.0,9.0,3.2,0.67
0,1,2020-06-25,OB,50296,T,29,3,3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,3.48,0.45
1,0,2020-07-16,WO,50360,B,37,0,8,4,3,0,1,0,0.0,3,1,1,0.8,20.25,0.0,4.62,0.99
1,0,2020-07-19,SS,50404,B,112,2,26,6,4,1,0,1,0.0,7,0,2,0.2777777777777778,7.875000000000001,1.125,17.33,2.69
1,0,2020-05-23,SS,50441,B,50,5,11,8,5,2,0,1,0.0,3,0,3,0.875,20.25,27.0,12.11,2.46
1,0,2020-07-16,SS,50449,B,30,4,2,1,1,0,0,0,0.0,0,0,0,0.5,0.0,108.0,4.0,0.88
1,0,2020-06-13,SS,50464,B,102,7,18,6,3,2,0,1,0.0,3,0,3,0.35714285714285715,5.785714285714287,13.5,14.42,2.78
1,0,2020-07-15,LT,50524,B,85,3,23,11,8,1,1,1,0.0,4,0,3,0.5555555555555556,8.307692307692307,4.153846153846153,16.08,2.37
0,1,2020-07-17,LT,50556,T,17,0,5,2,1,1,0,0,0.0,1,0,1,0.5,9.0,0.0,3.19,0.59
0,1,2020-07-19,LT,50558,T,98,1,21,4,3,0,0,1,0.0,6,0,1,0.21428571428571427,9.0,1.5,16.55,1.99
1,0,2020-06-27,LT,50592,B,21,0,4,3,2,1,0,0,1.0,0,0,1,0.75,0.0,0.0,3.3,0.69
1,0,2020-07-17,HT,50636,B,105,1,29,7,7,0,0,0,1.0,2,1,0,0.25925925925925924,2.25,1.125,18.56,2.99
0,1,2020-07-15,HT,50640,T,106,4,20,4,3,0,0,1,0.0,9,0,1,0.2727272727272727,14.294117647058822,4.764705882352942,15.53,2.78
1,0,2020-07-19,HT,50662,B,5,0,2,0,0,0,0,0,0.0,1,0,0,0.0,13.5,0.0,3.28,0.58
0,1,2020-07-19,HH,50705,T,6,0,2,1,1,0,0,0,0.0,1,0,0,1.0,27.0,0.0,2.88,0.59
1,0,2020-06-13,HH,50726,B,36,3,7,3,2,0,0,1,0.0,2,0,1,0.4,10.8,10.8,6.93,1.53
0,1,2020-05-12,SK,50815,T,98,2,22,10,8,1,0,1,1.0,2,1,2,0.4736842105263158,4.909090909090909,4.909090909090909,16.24,2.45
0,1,2020-07-15,SK,50835,T,101,3,23,9,5,3,0,1,1.0,0,0,4,0.3478260869565217,0.0,3.6,14.02,2.98
1,0,2020-06-14,NC,50900,B,7,0,1,1,1,0,0,0,0.0,0,0,0,1.0,0.0,0.0,3.19,0.61
1,0,2020-07-17,NC,50912,B,101,2,23,5,4,1,0,0,1.0,4,0,1,0.2631578947368421,6.0,3.0,16.15,2.53
